,IA_LABEL,IA_ID,IA_LEFT,IA_TOP,batch,article_id,paragraph_id,level,RECORDING_SESSION_LABEL,TRIAL_INDEX,trial,list,has_preview,article_ind
0,south-east,32,358,378,1,1,5,Adv,l21_102,22,19,21,0,3
1,credit-card,35,358,378,1,10,1,Adv,l21_102,41,36,21,0,7
2,hunter-gatherer,47,358,492,1,6,4,Adv,l22_103,17,10,22,0,2
3,top-level,71,358,606,1,8,3,Ele,l22_103,20,13,22,0,3
4,credit-card,35,358,378,1,10,1,Adv,l39_125,40,31,39,0,7
5,south-east,32,358,378,1,1,5,Adv,l39_125,52,42,39,0,8
6,hunter-gatherer,47,358,492,1,6,4,Adv,l60_190,22,18,60,0,3
7,top-level,71,358,606,1,8,3,Ele,l60_190,64,54,60,0,10
8,hunter-gatherer,47,358,492,1,6,4,Adv,l50_145,12,12,50,0,2
9,top-level,71,358,606,1,8,3,Ele,l50_145,28,26,50,0,5
10,top-level,71,358,606,1,8,3,Ele,l16_96,13,11,16,0,2
11,hunter-gatherer,47,358,492,1,6,4,Adv,l16_96,28,26,16,0,5
12,top-level,71,358,606,1,8,3,Ele,l40_127,10,10,40,0,2
13,hunter-gatherer,47,358,492,1,6,4,Adv,l40_127,46,45,40,0,8
14,hunter-gatherer,47,358,492,1,6,4,Adv,l4_80,24,23,4,0,4
15,top-level,71,358,606,1,8,3,Ele,l4_80,45,42,4,0,8
16,credit-card,35,358,378,1,10,1,Adv,l41_129,9,7,41,0,2
17,south-east,32,358,378,1,1,5,Adv,l41_129,21,18,41,0,3
18,credit-card,35,358,378,1,10,1,Adv,l17_98,11,7,17,0,2
19,south-east,32,358,378,1,1,5,Adv,l17_98,87,54,17,0,10
20,top-level,71,358,606,1,8,3,Ele,l24_105,33,24,24,0,4
21,hunter-gatherer,47,358,492,1,6,4,Adv,l24_105,69,56,24,0,10
22,credit-card,35,358,378,1,10,1,Adv,l23_97,24,18,23,0,4
23,south-east,32,358,378,1,1,5,Adv,l23_97,35,29,23,0,5
24,credit-card,35,358,378,1,10,1,Adv,l55_157,11,8,55,0,2
25,south-east,32,358,378,1,1,5,Adv,l55_157,34,19,55,0,3
26,top-level,71,358,606,1,8,3,Ele,l30_111,15,11,30,0,2
27,hunter-gatherer,47,358,492,1,6,4,Adv,l30_111,53,38,30,0,7
28,top-level,71,358,606,1,8,3,Ele,l14_94,13,12,14,0,2
29,hunter-gatherer,47,358,492,1,6,4,Adv,l14_94,39,35,14,0,6
30,hunter-gatherer,47,358,492,1,6,4,Adv,l54_151,48,41,54,0,7
31,top-level,71,358,606,1,8,3,Ele,l54_151,57,50,54,0,9
32,hunter-gatherer,47,358,492,1,6,4,Adv,l58_177,39,39,58,0,7
33,top-level,71,358,606,1,8,3,Ele,l58_177,56,54,58,0,10
34,hunter-gatherer,47,358,492,1,6,4,Adv,l18_99,7,6,18,0,1
35,top-level,71,358,606,1,8,3,Ele,l18_99,21,20,18,0,4
36,top-level,71,358,606,1,8,3,Ele,l56_159,38,29,56,0,5
37,hunter-gatherer,47,358,492,1,6,4,Adv,l56_159,57,46,56,0,8
38,south-east,32,358,378,1,1,5,Adv,l37_120,59,47,37,0,9
39,credit-card,35,358,378,1,10,1,Adv,l37_120,62,50,37,0,10
40,credit-card,35,358,378,1,10,1,Adv,l53_150,20,16,53,0,4
41,south-east,32,358,378,1,1,5,Adv,l53_150,56,49,53,0,9
42,south-east,32,358,378,1,1,5,Adv,l15_95,36,34,15,0,6
43,credit-card,35,358,378,1,10,1,Adv,l15_95,43,41,15,0,8
44,top-level,71,358,606,1,8,3,Ele,l34_116,18,12,34,0,2
45,hunter-gatherer,47,358,492,1,6,4,Adv,l34_116,70,56,34,0,10
46,top-level,71,358,606,1,8,3,Ele,l36_119,23,23,36,0,4
47,hunter-gatherer,47,358,492,1,6,4,Adv,l36_119,46,46,36,0,8
48,top-level,71,358,606,1,8,3,Ele,l48_140,31,30,48,0,5
49,hunter-gatherer,47,358,492,1,6,4,Adv,l48_140,46,45,48,0,8
50,hunter-gatherer,47,358,492,1,6,4,Adv,l6_83,32,23,6,0,4
51,top-level,71,358,606,1,8,3,Ele,l6_83,52,37,6,0,7
52,credit-card,35,358,378,1,10,1,Adv,l35_118,27,26,35,0,6
53,south-east,32,358,378,1,1,5,Adv,l35_118,46,43,35,0,8
54,credit-card,35,358,378,1,10,1,Adv,l45_135,24,24,45,0,5
55,south-east,32,358,378,1,1,5,Adv,l45_135,51,50,45,0,9
56,top-level,71,358,606,1,8,3,Ele,l20_101,12,12,20,0,2
57,hunter-gatherer,47,358,492,1,6,4,Adv,l20_101,63,56,20,0,10
58,credit-card,35,358,378,1,10,1,Adv,l51_147,14,13,51,0,3
59,south-east,32,358,378,1,1,5,Adv,l51_147,33,30,51,0,5
60,top-level,71,358,606,1,8,3,Ele,l12_92,22,18,12,0,3
61,hunter-gatherer,47,358,492,1,6,4,Adv,l12_92,49,43,12,0,8
62,south-east,32,358,378,1,1,5,Adv,l5_82,34,28,5,0,5
63,credit-card,35,358,378,1,10,1,Adv,l5_82,42,35,5,0,7
64,hunter-gatherer,47,358,492,1,6,4,Adv,l52_149,14,12,52,0,2
65,top-level,71,358,606,1,8,3,Ele,l52_149,23,20,52,0,4
66,hunter-gatherer,47,358,492,1,6,4,Adv,l38_121,26,26,38,0,5
67,top-level,71,358,606,1,8,3,Ele,l38_121,41,41,38,0,8
68,south-east,32,358,378,1,1,5,Adv,l13_93,29,28,13,0,5
69,credit-card,35,358,378,1,10,1,Adv,l13_93,42,41,13,0,8
70,south-east,32,358,378,1,1,5,Adv,l29_110,35,32,29,0,6
71,credit-card,35,358,378,1,10,1,Adv,l29_110,49,45,29,0,9
72,credit-card,35,358,378,1,10,1,Adv,l19_100,12,8,19,0,2
73,south-east,32,358,378,1,1,5,Adv,l19_100,65,50,19,0,9
74,credit-card,35,358,378,1,10,1,Adv,l1_168,3,3,1,0,1
75,south-east,32,358,378,1,1,5,Adv,l1_168,19,19,1,0,3
76,credit-card,35,358,378,1,10,1,Adv,l27_108,36,23,27,0,5
77,south-east,32,358,378,1,1,5,Adv,l27_108,70,54,27,0,10
78,hunter-gatherer,47,358,492,1,6,4,Adv,l26_107,42,29,26,0,5
79,top-level,71,358,606,1,8,3,Ele,l26_107,58,45,26,0,8
80,south-east,32,358,378,1,1,5,Adv,l57_170,27,23,57,0,4
81,credit-card,35,358,378,1,10,1,Adv,l57_170,44,40,57,0,8
82,south-east,32,358,378,1,1,5,Adv,l25_106,11,11,25,0,2
83,credit-card,35,358,378,1,10,1,Adv,l25_106,40,40,25,0,8
84,credit-card,35,358,378,1,10,1,Adv,l31_112,9,8,31,0,2
85,south-east,32,358,378,1,1,5,Adv,l31_112,36,34,31,0,6
86,south-east,32,358,378,1,1,5,Adv,l33_115,28,27,33,0,5
87,credit-card,35,358,378,1,10,1,Adv,l33_115,53,50,33,0,10
88,top-level,71,358,606,1,8,3,Ele,l2_174,38,37,2,0,7
89,hunter-gatherer,47,358,492,1,6,4,Adv,l2_174,53,50,2,0,9
90,credit-card,35,358,378,1,10,1,Adv,l43_131,26,23,43,0,5
91,south-east,32,358,378,1,1,5,Adv,l43_131,57,54,43,0,10
92,south-east,32,358,378,1,1,5,Adv,l11_91,38,27,11,0,5
93,credit-card,35,358,378,1,10,1,Adv,l11_91,65,50,11,0,10
94,south-east,32,358,378,1,1,5,Adv,l47_138,21,18,47,0,3
95,credit-card,35,358,378,1,10,1,Adv,l47_138,31,26,47,0,5
96,top-level,71,358,606,1,8,3,Ele,l46_137,35,32,46,0,6
97,hunter-gatherer,47,358,492,1,6,4,Adv,l46_137,46,43,46,0,8
98,credit-card,35,358,378,1,10,1,Adv,l49_143,43,34,49,0,7
99,south-east,32,358,378,1,1,5,Adv,l49_143,56,45,49,0,8
100,honey-flavored,47,358,492,2,8,2,Ele,l26_244,4,4,26,0,1
101,100sq-meter,43,358,492,2,6,2,Adv,l26_244,10,10,26,0,2
102,honey-flavored,47,358,492,2,8,2,Ele,l18_220,15,14,18,0,3
103,100sq-meter,43,358,492,2,6,2,Adv,l18_220,49,41,18,0,8
104,deep-fried,17,358,264,2,10,2,Adv,l7_199,10,10,7,0,2
105,film-makers.,16,358,264,2,8,6,Adv,l7_199,30,30,7,0,5
106,post-genocide,32,358,378,2,8,6,Adv,l7_199,30,30,7,0,5
107,film-editing,95,358,834,2,8,6,Adv,l7_199,30,30,7,0,5
108,film-makers.,16,358,264,2,8,6,Adv,l25_243,33,33,25,0,6
109,post-genocide,32,358,378,2,8,6,Adv,l25_243,33,33,25,0,6
110,film-editing,95,358,834,2,8,6,Adv,l25_243,33,33,25,0,6
111,deep-fried,17,358,264,2,10,2,Adv,l25_243,42,42,25,0,8
112,film-makers.,16,358,264,2,8,6,Adv,l27_245,13,8,27,0,1
113,post-genocide,32,358,378,2,8,6,Adv,l27_245,13,8,27,0,1
114,film-editing,95,358,834,2,8,6,Adv,l27_245,13,8,27,0,1
115,deep-fried,17,358,264,2,10,2,Adv,l27_245,48,37,27,0,7
116,honey-flavored,47,358,492,2,8,2,Ele,l2_165,4,4,2,0,1
117,100sq-meter,43,358,492,2,6,2,Adv,l2_165,49,48,2,0,9
118,honey-flavored,47,358,492,2,8,2,Ele,l12_207,18,16,12,0,3
119,100sq-meter,43,358,492,2,6,2,Adv,l12_207,25,22,12,0,4
120,film-makers.,16,358,264,2,8,6,Adv,l13_213,28,19,13,0,3
121,post-genocide,32,358,378,2,8,6,Adv,l13_213,28,19,13,0,3
122,film-editing,95,358,834,2,8,6,Adv,l13_213,28,19,13,0,3
123,deep-fried,17,358,264,2,10,2,Adv,l13_213,55,37,13,0,7
124,film-makers.,16,358,264,2,8,6,Adv,l23_234,18,15,23,0,2
125,post-genocide,32,358,378,2,8,6,Adv,l23_234,18,15,23,0,2
126,film-editing,95,358,834,2,8,6,Adv,l23_234,18,15,23,0,2
127,deep-fried,17,358,264,2,10,2,Adv,l23_234,43,38,23,0,7
128,film-makers.,16,358,264,2,8,6,Adv,l21_232,26,21,21,0,3
129,post-genocide,32,358,378,2,8,6,Adv,l21_232,26,21,21,0,3
130,film-editing,95,358,834,2,8,6,Adv,l21_232,26,21,21,0,3
131,deep-fried,17,358,264,2,10,2,Adv,l21_232,49,43,21,0,8
132,honey-flavored,47,358,492,2,8,2,Ele,l22_233,28,26,22,0,5
133,100sq-meter,43,358,492,2,6,2,Adv,l22_233,50,43,22,0,8
134,film-makers.,16,358,264,2,8,6,Adv,l31_257,9,8,31,0,1
135,post-genocide,32,358,378,2,8,6,Adv,l31_257,9,8,31,0,1
136,film-editing,95,358,834,2,8,6,Adv,l31_257,9,8,31,0,1
137,deep-fried,17,358,264,2,10,2,Adv,l31_257,11,10,31,0,2
138,deep-fried,17,358,264,2,10,2,Adv,l5_179,4,4,5,0,1
139,film-makers.,16,358,264,2,8,6,Adv,l5_179,25,24,5,0,4
140,post-genocide,32,358,378,2,8,6,Adv,l5_179,25,24,5,0,4
141,film-editing,95,358,834,2,8,6,Adv,l5_179,25,24,5,0,4
142,100sq-meter,43,358,492,2,6,2,Adv,l28_246,4,4,28,0,1
143,honey-flavored,47,358,492,2,8,2,Ele,l28_246,18,17,28,0,4
144,film-makers.,16,358,264,2,8,6,Adv,l29_248,17,12,29,0,2
145,post-genocide,32,358,378,2,8,6,Adv,l29_248,17,12,29,0,2
146,film-editing,95,358,834,2,8,6,Adv,l29_248,17,12,29,0,2
147,deep-fried,17,358,264,2,10,2,Adv,l29_248,82,47,29,0,9
148,honey-flavored,47,358,492,2,8,2,Ele,l24_241,15,14,24,0,3
149,100sq-meter,43,358,492,2,6,2,Adv,l24_241,61,54,24,0,10
150,film-makers.,16,358,264,2,8,6,Adv,l3_167,8,8,3,0,1
151,post-genocide,32,358,378,2,8,6,Adv,l3_167,8,8,3,0,1
152,film-editing,95,358,834,2,8,6,Adv,l3_167,8,8,3,0,1
153,deep-fried,17,358,264,2,10,2,Adv,l3_167,43,42,3,0,8
154,100sq-meter,43,358,492,2,6,2,Adv,l8_200,4,4,8,0,1
155,honey-flavored,47,358,492,2,8,2,Ele,l8_200,60,52,8,0,10
156,deep-fried,17,358,264,2,10,2,Adv,l1_161,48,42,1,0,8
157,film-makers.,16,358,264,2,8,6,Adv,l1_161,62,56,1,0,10
158,post-genocide,32,358,378,2,8,6,Adv,l1_161,62,56,1,0,10
159,film-editing,95,358,834,2,8,6,Adv,l1_161,62,56,1,0,10
160,honey-flavored,47,358,492,2,8,2,Ele,l10_202,18,14,10,0,3
161,100sq-meter,43,358,492,2,6,2,Adv,l10_202,35,30,10,0,6
162,deep-fried,17,358,264,2,10,2,Adv,l9_201,31,27,9,0,5
163,film-makers.,16,358,264,2,8,6,Adv,l9_201,67,56,9,0,10
164,post-genocide,32,358,378,2,8,6,Adv,l9_201,67,56,9,0,10
165,film-editing,95,358,834,2,8,6,Adv,l9_201,67,56,9,0,10
166,film-makers.,16,358,264,2,8,6,Adv,l11_205,35,22,11,0,4
167,post-genocide,32,358,378,2,8,6,Adv,l11_205,35,22,11,0,4
168,film-editing,95,358,834,2,8,6,Adv,l11_205,35,22,11,0,4
169,deep-fried,17,358,264,2,10,2,Adv,l11_205,73,54,11,0,10
170,honey-flavored,47,358,492,2,8,2,Ele,l20_253,47,42,20,0,8
171,100sq-meter,43,358,492,2,6,2,Adv,l20_253,59,54,20,0,10
172,honey-flavored,47,358,492,2,8,2,Ele,l4_172,41,40,4,0,7
173,100sq-meter,43,358,492,2,6,2,Adv,l4_172,47,46,4,0,8
174,100sq-meter,43,358,492,2,6,2,Adv,l32_263,14,14,32,0,3
175,honey-flavored,47,358,492,2,8,2,Ele,l32_263,24,24,32,0,5
176,honey-flavored,47,358,492,2,8,2,Ele,l6_187,11,8,6,0,2
177,100sq-meter,43,358,492,2,6,2,Adv,l6_187,43,36,6,0,7
178,100sq-meter,43,358,492,2,6,2,Adv,l16_218,9,8,16,0,2
179,honey-flavored,47,358,492,2,8,2,Ele,l16_218,15,12,16,0,3
180,100sq-meter,43,358,492,2,6,2,Adv,l30_254,11,10,30,0,2
181,honey-flavored,47,358,492,2,8,2,Ele,l30_254,27,25,30,0,5
182,deep-fried,17,358,264,2,10,2,Adv,l15_210,10,10,15,0,2
183,film-makers.,16,358,264,2,8,6,Adv,l15_210,46,43,15,0,8
184,post-genocide,32,358,378,2,8,6,Adv,l15_210,46,43,15,0,8
185,film-editing,95,358,834,2,8,6,Adv,l15_210,46,43,15,0,8
186,deep-fried,17,358,264,2,10,2,Adv,l17_219,19,16,17,0,3
187,film-makers.,16,358,264,2,8,6,Adv,l17_219,54,45,17,0,8
188,post-genocide,32,358,378,2,8,6,Adv,l17_219,54,45,17,0,8
189,film-editing,95,358,834,2,8,6,Adv,l17_219,54,45,17,0,8
190,deep-fried,17,358,264,2,10,2,Adv,l19_230,25,19,19,0,4
191,film-makers.,16,358,264,2,8,6,Adv,l19_230,49,40,19,0,7
192,post-genocide,32,358,378,2,8,6,Adv,l19_230,49,40,19,0,7
193,film-editing,95,358,834,2,8,6,Adv,l19_230,49,40,19,0,7
194,hunter-gatherer,47,358,492,1,6,4,Adv,l8_268,11,6,8,0,1
195,top-level,71,358,606,1,8,3,Ele,l8_268,68,54,8,0,10
196,south-east,32,358,378,1,1,5,Adv,l3_265,37,36,3,0,7
197,credit-card,35,358,378,1,10,1,Adv,l3_265,46,44,3,0,9
198,hunter-gatherer,47,358,492,1,6,4,Adv,l42_290,13,6,42,0,1
199,top-level,71,358,606,1,8,3,Ele,l42_290,36,22,42,0,4
200,hunter-gatherer,47,358,492,1,6,4,Adv,l10_269,20,16,10,0,3
201,top-level,71,358,606,1,8,3,Ele,l10_269,30,26,10,0,5
202,top-level,71,358,606,1,8,3,Ele,l44_291,6,5,44,0,1
203,hunter-gatherer,47,358,492,1,6,4,Adv,l44_291,54,49,44,0,9
204,south-east,32,358,378,1,1,5,Adv,l7_267,8,7,7,0,1
205,credit-card,35,358,378,1,10,1,Adv,l7_267,59,45,7,0,9
206,credit-card,35,358,378,1,10,1,Adv,l59_293,4,3,59,0,1
207,south-east,32,358,378,1,1,5,Adv,l59_293,17,14,59,0,2
208,three-square-meter,68,358,606,3,9,1,Adv,l20_362,26,24,20,0,5
209,"open-minded,",83,358,720,3,10,5,Ele,l5_332,18,17,5,0,3
210,three-square-meter,54,358,492,3,9,1,Ele,l5_332,26,25,5,0,5
211,French-Canadian,49,358,492,3,7,4,Adv,l5_332,49,46,5,0,9
212,brand-new,19,358,264,3,7,5,Adv,l5_332,50,47,5,0,9
213,e-bicycles,65,358,606,3,6,3,Adv,l5_332,55,52,5,0,10
214,three-square-meter,68,358,606,3,9,1,Adv,l12_345,3,3,12,0,1
215,e-bicycles,65,358,606,3,6,3,Adv,l11_344,11,10,11,0,2
216,three-square-meter,54,358,492,3,9,1,Ele,l11_344,42,40,11,0,8
217,French-Canadian,49,358,492,3,7,4,Adv,l11_344,49,47,11,0,9
218,brand-new,19,358,264,3,7,5,Adv,l11_344,50,48,11,0,9
219,"open-minded,",83,358,720,3,10,5,Ele,l11_344,57,55,11,0,10
220,three-square-meter,54,358,492,3,9,1,Ele,l9_340,3,3,9,0,1
221,French-Canadian,49,358,492,3,7,4,Adv,l9_340,37,29,9,0,6
222,brand-new,19,358,264,3,7,5,Adv,l9_340,39,30,9,0,6
223,e-bicycles,65,358,606,3,6,3,Adv,l9_340,44,35,9,0,7
224,"open-minded,",83,358,720,3,10,5,Ele,l9_340,54,44,9,0,8
225,three-square-meter,68,358,606,3,9,1,Adv,l32_390,25,20,32,0,4
226,three-square-meter,54,358,492,3,9,1,Ele,l19_365,13,13,19,0,3
227,e-bicycles,65,358,606,3,6,3,Adv,l19_365,20,19,19,0,4
228,"open-minded,",83,358,720,3,10,5,Ele,l19_365,35,28,19,0,5
229,French-Canadian,49,358,492,3,7,4,Adv,l19_365,65,53,19,0,10
230,brand-new,19,358,264,3,7,5,Adv,l19_365,67,54,19,0,10
231,three-square-meter,68,358,606,3,9,1,Adv,l28_380,9,8,28,0,2
232,e-bicycles,65,358,606,3,6,3,Adv,l27_378,12,11,27,0,2
233,"open-minded,",83,358,720,3,10,5,Ele,l27_378,21,20,27,0,3
234,French-Canadian,49,358,492,3,7,4,Adv,l27_378,31,29,27,0,5
235,brand-new,19,358,264,3,7,5,Adv,l27_378,32,30,27,0,5
236,three-square-meter,54,358,492,3,9,1,Ele,l27_378,40,38,27,0,7
237,three-square-meter,68,358,606,3,9,1,Adv,l8_339,26,25,8,0,5
238,three-square-meter,54,358,492,3,9,1,Ele,l7_336,3,3,7,0,1
239,e-bicycles,65,358,606,3,6,3,Adv,l7_336,15,14,7,0,3
240,"open-minded,",83,358,720,3,10,5,Ele,l7_336,24,23,7,0,4
241,French-Canadian,49,358,492,3,7,4,Adv,l7_336,50,49,7,0,9
242,brand-new,19,358,264,3,7,5,Adv,l7_336,51,50,7,0,9
243,three-square-meter,54,358,492,3,9,1,Ele,l23_368,9,8,23,0,2
244,"open-minded,",83,358,720,3,10,5,Ele,l23_368,31,27,23,0,5
245,e-bicycles,65,358,606,3,6,3,Adv,l23_368,36,31,23,0,6
246,French-Canadian,49,358,492,3,7,4,Adv,l23_368,48,39,23,0,7
247,brand-new,19,358,264,3,7,5,Adv,l23_368,49,40,23,0,7
248,three-square-meter,68,358,606,3,9,1,Adv,l10_341,10,9,10,0,2
249,three-square-meter,68,358,606,3,9,1,Adv,l4_331,3,3,4,0,1
250,three-square-meter,54,358,492,3,9,1,Ele,l21_366,12,8,21,0,2
251,e-bicycles,65,358,606,3,6,3,Adv,l21_366,25,19,21,0,4
252,French-Canadian,49,358,492,3,7,4,Adv,l21_366,46,38,21,0,7
253,brand-new,19,358,264,3,7,5,Adv,l21_366,47,39,21,0,7
254,"open-minded,",83,358,720,3,10,5,Ele,l21_366,55,46,21,0,8
255,three-square-meter,68,358,606,3,9,1,Adv,l22_367,12,10,22,0,2
256,French-Canadian,49,358,492,3,7,4,Adv,l13_348,14,11,13,0,2
257,brand-new,19,358,264,3,7,5,Adv,l13_348,15,12,13,0,2
258,three-square-meter,54,358,492,3,9,1,Ele,l13_348,24,20,13,0,4
259,"open-minded,",83,358,720,3,10,5,Ele,l13_348,46,34,13,0,6
260,e-bicycles,65,358,606,3,6,3,Adv,l13_348,51,38,13,0,7
261,French-Canadian,49,358,492,3,7,4,Adv,l25_373,12,11,25,0,2
262,brand-new,19,358,264,3,7,5,Adv,l25_373,13,12,25,0,2
263,e-bicycles,65,358,606,3,6,3,Adv,l25_373,39,37,25,0,7
264,"open-minded,",83,358,720,3,10,5,Ele,l25_373,48,46,25,0,8
265,three-square-meter,54,358,492,3,9,1,Ele,l25_373,55,53,25,0,10
266,three-square-meter,68,358,606,3,9,1,Adv,l26_375,32,31,26,0,6
267,e-bicycles,65,358,606,3,6,3,Adv,l31_388,6,5,31,0,1
268,French-Canadian,49,358,492,3,7,4,Adv,l31_388,26,22,31,0,4
269,brand-new,19,358,264,3,7,5,Adv,l31_388,27,23,31,0,4
270,"open-minded,",83,358,720,3,10,5,Ele,l31_388,42,36,31,0,6
271,three-square-meter,54,358,492,3,9,1,Ele,l31_388,56,48,31,0,9
272,three-square-meter,68,358,606,3,9,1,Adv,l24_372,8,8,24,0,2
273,three-square-meter,68,358,606,3,9,1,Adv,l30_386,4,3,30,0,1
274,French-Canadian,49,358,492,3,7,4,Adv,l3_327,7,6,3,0,1
275,brand-new,19,358,264,3,7,5,Adv,l3_327,8,7,3,0,1
276,e-bicycles,65,358,606,3,6,3,Adv,l3_327,13,12,3,0,2
277,three-square-meter,54,358,492,3,9,1,Ele,l3_327,42,37,3,0,7
278,"open-minded,",83,358,720,3,10,5,Ele,l3_327,50,45,3,0,8
279,three-square-meter,68,358,606,3,9,1,Adv,l6_329,61,53,6,0,10
280,e-bicycles,65,358,606,3,6,3,Adv,l1_322,15,15,1,0,3
281,three-square-meter,54,358,492,3,9,1,Ele,l1_322,20,20,1,0,4
282,French-Canadian,49,358,492,3,7,4,Adv,l1_322,27,27,1,0,5
283,brand-new,19,358,264,3,7,5,Adv,l1_322,28,28,1,0,5
284,"open-minded,",83,358,720,3,10,5,Ele,l1_322,35,35,1,0,6
285,three-square-meter,68,358,606,3,9,1,Adv,l2_324,62,53,2,0,10
286,honey-flavored,47,358,492,2,8,2,Ele,l44_312,4,4,44,0,1
287,100sq-meter,43,358,492,2,6,2,Adv,l44_312,21,20,44,0,4
288,100sq-meter,43,358,492,2,6,2,Adv,l36_280,4,4,36,0,1
289,honey-flavored,47,358,492,2,8,2,Ele,l36_280,24,19,36,0,4
290,film-makers.,16,358,264,2,8,6,Adv,l39_299,19,19,39,0,3
291,post-genocide,32,358,378,2,8,6,Adv,l39_299,19,19,39,0,3
292,film-editing,95,358,834,2,8,6,Adv,l39_299,19,19,39,0,3
293,deep-fried,17,358,264,2,10,2,Adv,l39_299,31,30,39,0,6
294,100sq-meter,43,358,492,2,6,2,Adv,l42_308,4,4,42,0,1
295,honey-flavored,47,358,492,2,8,2,Ele,l42_308,14,14,42,0,3
296,honey-flavored,47,358,492,2,8,2,Ele,l40_300,21,18,40,0,4
297,100sq-meter,43,358,492,2,6,2,Adv,l40_300,45,42,40,0,8
298,honey-flavored,47,358,492,2,8,2,Ele,l38_282,4,4,38,0,1
299,100sq-meter,43,358,492,2,6,2,Adv,l38_282,21,20,38,0,4
300,film-makers.,16,358,264,2,8,6,Adv,l33_276,54,42,33,0,7
301,post-genocide,32,358,378,2,8,6,Adv,l33_276,54,42,33,0,7
302,film-editing,95,358,834,2,8,6,Adv,l33_276,54,42,33,0,7
303,deep-fried,17,358,264,2,10,2,Adv,l33_276,68,54,33,0,10
304,deep-fried,17,358,264,2,10,2,Adv,l47_319,27,27,47,0,5
305,film-makers.,16,358,264,2,8,6,Adv,l47_319,41,41,47,0,7
306,post-genocide,32,358,378,2,8,6,Adv,l47_319,41,41,47,0,7
307,film-editing,95,358,834,2,8,6,Adv,l47_319,41,41,47,0,7
308,honey-flavored,47,358,492,2,8,2,Ele,l46_317,29,21,46,0,4
309,100sq-meter,43,358,492,2,6,2,Adv,l46_317,57,43,46,0,8
310,deep-fried,17,358,264,2,10,2,Adv,l35_278,21,20,35,0,4
311,film-makers.,16,358,264,2,8,6,Adv,l35_278,35,34,35,0,6
312,post-genocide,32,358,378,2,8,6,Adv,l35_278,35,34,35,0,6
313,film-editing,95,358,834,2,8,6,Adv,l35_278,35,34,35,0,6
314,deep-fried,17,358,264,2,10,2,Adv,l43_310,9,8,43,0,2
315,film-makers.,16,358,264,2,8,6,Adv,l43_310,18,16,43,0,3
316,post-genocide,32,358,378,2,8,6,Adv,l43_310,18,16,43,0,3
317,film-editing,95,358,834,2,8,6,Adv,l43_310,18,16,43,0,3
318,honey-flavored,47,358,492,2,8,2,Ele,l34_277,27,25,34,0,5
319,100sq-meter,43,358,492,2,6,2,Adv,l34_277,59,54,34,0,10
320,deep-fried,17,358,264,2,10,2,Adv,l41_303,19,16,41,0,3
